Domain-04	POLITICS
ThesaurusConcept-200	Yaoundé Convention
ThesaurusConcept-201	UN convention
ThesaurusConcept-202	economic convergence
ThesaurusConcept-203	energy conversion
ThesaurusConcept-204	currency convertibility
ThesaurusConcept-205	Cook Islands
ThesaurusConcept-206	administrative cooperation
ThesaurusConcept-207	trade cooperation
ThesaurusConcept-208	cultural cooperation
ThesaurusConcept-209	economic cooperation
ThesaurusConcept-210	European cooperation
ThesaurusConcept-211	financial cooperation
ThesaurusConcept-212	aerosol
ThesaurusConcept-213	industrial cooperation
ThesaurusConcept-214	institutional cooperation
ThesaurusConcept-215	inter-company cooperation
ThesaurusConcept-216	international cooperation
ThesaurusConcept-217	judicial cooperation
ThesaurusConcept-218	military cooperation
ThesaurusConcept-219	monetary cooperation
ThesaurusConcept-220	political cooperation
ThesaurusConcept-221	regional cooperation
ThesaurusConcept-222	allocation of land
ThesaurusConcept-223	scientific cooperation
ThesaurusConcept-224	South-South cooperation
ThesaurusConcept-225	technical cooperation
ThesaurusConcept-226	cross-border cooperation
ThesaurusConcept-227	cooperative
ThesaurusConcept-228	agricultural cooperative
ThesaurusConcept-229	consumer cooperative
ThesaurusConcept-230	credit union
ThesaurusConcept-231	coordination of aid
ThesaurusConcept-232	Copenhagen
ThesaurusConcept-233	publishing of prices
ThesaurusConcept-234	joint ownership
ThesaurusConcept-235	South Korea
ThesaurusConcept-236	North Korea
ThesaurusConcept-237	Coreper
ThesaurusConcept-238	corporatism
ThesaurusConcept-239	fats
ThesaurusConcept-240	animal fats
ThesaurusConcept-241	vegetable fats
ThesaurusConcept-242	correspondence
ThesaurusConcept-243	corrosion
ThesaurusConcept-244	political affiliation
ThesaurusConcept-245	corruption
ThesaurusConcept-246	Corsica
ThesaurusConcept-247	Costa Rica
ThesaurusConcept-248	stock-exchange listing
ThesaurusConcept-249	Côte d'Ivoire
ThesaurusConcept-250	social-security contribution
ThesaurusConcept-251	sugar levy
ThesaurusConcept-252	cotton
ThesaurusConcept-253	coup d'état
ThesaurusConcept-254	chartering
ThesaurusConcept-255	Court of Justice of the European Union
ThesaurusConcept-256	European Court of Auditors
ThesaurusConcept-257	European Court of Human Rights
ThesaurusConcept-258	International Court of Justice
ThesaurusConcept-259	migratory movement
ThesaurusConcept-260	watercourse
ThesaurusConcept-261	Afghanistan
ThesaurusConcept-262	price of securities
ThesaurusConcept-263	broker
ThesaurusConcept-264	equipment cost
ThesaurusConcept-265	investment cost
ThesaurusConcept-266	cost of capital
ThesaurusConcept-267	distribution cost
ThesaurusConcept-268	operating cost
ThesaurusConcept-269	education costs
ThesaurusConcept-271	construction costs
ThesaurusConcept-272	cost of pollution
ThesaurusConcept-273	health costs
ThesaurusConcept-274	cost of living
ThesaurusConcept-275	production cost
ThesaurusConcept-276	storage cost
ThesaurusConcept-277	direct cost
ThesaurusConcept-278	cost of borrowing
ThesaurusConcept-279	wage cost
ThesaurusConcept-280	access to education
ThesaurusConcept-281	Africa
ThesaurusConcept-282	social cost
ThesaurusConcept-283	artistic creation
ThesaurusConcept-284	job creation
ThesaurusConcept-285	credit
ThesaurusConcept-286	short-term credit
ThesaurusConcept-287	export credit
ThesaurusConcept-288	import credit
ThesaurusConcept-289	consumer credit
ThesaurusConcept-290	long-term credit
ThesaurusConcept-291	English-speaking Africa
ThesaurusConcept-292	medium-term credit
ThesaurusConcept-293	trade credit
ThesaurusConcept-294	swap arrangement
ThesaurusConcept-295	investment loan
ThesaurusConcept-296	payment appropriation
ThesaurusConcept-297	documentary credit
ThesaurusConcept-298	real estate credit
ThesaurusConcept-299	industrial credit
ThesaurusConcept-300	international credit
ThesaurusConcept-301	cream
ThesaurusConcept-302	Central Africa
ThesaurusConcept-303	dairy ice cream
ThesaurusConcept-304	Scientific and Technical Research Committee
ThesaurusConcept-305	Crete
ThesaurusConcept-306	war crime
ThesaurusConcept-307	criminology
ThesaurusConcept-308	energy crisis
ThesaurusConcept-309	political crisis
ThesaurusConcept-310	economic growth
ThesaurusConcept-311	North Africa
ThesaurusConcept-312	Red Cross
ThesaurusConcept-313	crustacean
ThesaurusConcept-314	Cuba
ThesaurusConcept-315	leather
ThesaurusConcept-316	copper
ThesaurusConcept-317	culture
ThesaurusConcept-318	cereal-growing
ThesaurusConcept-319	terrace cropping
ThesaurusConcept-320	fodder-growing
ThesaurusConcept-321	South Africa
ThesaurusConcept-322	fruit-growing
ThesaurusConcept-323	agro-industrial cropping
ThesaurusConcept-324	market gardening
ThesaurusConcept-325	permanent crop
ThesaurusConcept-326	popular culture
ThesaurusConcept-327	hydroponics
ThesaurusConcept-328	glasshouse cultivation
ThesaurusConcept-329	tropical agriculture
ThesaurusConcept-330	self-sufficiency farming
ThesaurusConcept-331	cumulative pension entitlement
ThesaurusConcept-332	French-speaking Africa
ThesaurusConcept-333	Curaçao
ThesaurusConcept-334	Cyclades
ThesaurusConcept-335	economic cycle
ThesaurusConcept-336	Denmark
ThesaurusConcept-337	regions of Denmark
ThesaurusConcept-338	parliamentary debate
ThesaurusConcept-339	deforestation
ThesaurusConcept-340	decentralisation
ThesaurusConcept-341	budgetary discharge
ThesaurusConcept-342	Southern Africa
ThesaurusConcept-343	waste
ThesaurusConcept-344	agricultural waste
ThesaurusConcept-345	industrial waste
ThesaurusConcept-346	non-recoverable waste
ThesaurusConcept-347	radioactive waste
ThesaurusConcept-348	decision
ThesaurusConcept-349	decision (EU)
ThesaurusConcept-350	EAEC Decision
ThesaurusConcept-351	West Africa
ThesaurusConcept-352	ECSC general Decision
ThesaurusConcept-353	ECSC individual Decision
ThesaurusConcept-354	restrictive-practice notification
ThesaurusConcept-355	announcement of candidacy
ThesaurusConcept-356	explanation of voting
ThesaurusConcept-357	East Africa
ThesaurusConcept-358	economic take-off
ThesaurusConcept-359	decolonisation
ThesaurusConcept-360	counting of the votes
ThesaurusConcept-361	devolution
ThesaurusConcept-362	administrative unit
ThesaurusConcept-363	division into constituencies
ThesaurusConcept-364	decree
ThesaurusConcept-365	tax relief
ThesaurusConcept-366	anti-missile defence
ThesaurusConcept-367	loss
ThesaurusConcept-368	budget deficit
ThesaurusConcept-369	deflation
ThesaurusConcept-370	clearing of land
ThesaurusConcept-371	degradation of the environment
ThesaurusConcept-372	job access
ThesaurusConcept-373	school age
ThesaurusConcept-374	delinquency
ThesaurusConcept-375	juvenile delinquency
ThesaurusConcept-376	job application
ThesaurusConcept-377	consumer demand
ThesaurusConcept-378	energy demand
ThesaurusConcept-379	resignation of the government
ThesaurusConcept-380	agency abroad
ThesaurusConcept-381	democracy
ThesaurusConcept-382	people's democracy
ThesaurusConcept-383	democratisation
ThesaurusConcept-384	democratisation of education
ThesaurusConcept-385	demography
ThesaurusConcept-386	denaturing
ThesaurusConcept-387	perishable goods
ThesaurusConcept-388	Euratom Supply Agency
ThesaurusConcept-389	population density
ThesaurusConcept-390	department (France)
ThesaurusConcept-391	overseas department (France)
ThesaurusConcept-392	expenditure
ThesaurusConcept-393	food expenditure
ThesaurusConcept-394	budgetary expenditure
ThesaurusConcept-395	press agency
ThesaurusConcept-396	consumption expenditure
ThesaurusConcept-397	administrative expenditure
ThesaurusConcept-398	extra-budgetary expenditure
ThesaurusConcept-399	national expenditure
ThesaurusConcept-400	non-compulsory expenditure
ThesaurusConcept-401	compulsory expenditure
ThesaurusConcept-402	operational expenditure
ThesaurusConcept-403	public expenditure
ThesaurusConcept-404	depoliticisation
ThesaurusConcept-405	depopulation
ThesaurusConcept-406	deportee
ThesaurusConcept-407	sales agent
ThesaurusConcept-408	bank deposit
ThesaurusConcept-409	capital depreciation
ThesaurusConcept-410	deregulation
ThesaurusConcept-411	disarmament
ThesaurusConcept-412	man-made disaster
ThesaurusConcept-413	natural disaster
ThesaurusConcept-414	job description
ThesaurusConcept-415	desert
ThesaurusConcept-416	desertification
ThesaurusConcept-417	dehydration
ThesaurusConcept-418	withdrawal of candidacy
ThesaurusConcept-419	civil disobedience
ThesaurusConcept-420	destruction of crops
ThesaurusConcept-421	European Association of National Productivity Centres
ThesaurusConcept-422	strait
ThesaurusConcept-423	external debt
ThesaurusConcept-424	public debt
ThesaurusConcept-425	Upper House
ThesaurusConcept-426	devaluation
ThesaurusConcept-427	economic development
ThesaurusConcept-428	Nuclear Energy Agency
ThesaurusConcept-429	industrial development
ThesaurusConcept-430	integrated development
ThesaurusConcept-431	regional development
ThesaurusConcept-432	social development
ThesaurusConcept-433	foreign currency
ThesaurusConcept-434	diabetes
ThesaurusConcept-435	North-South relations
ThesaurusConcept-436	dictatorship
ThesaurusConcept-437	regional agency
ThesaurusConcept-438	dictionary
ThesaurusConcept-439	cultural difference
ThesaurusConcept-440	international dispute
ThesaurusConcept-441	dissemination of information
ThesaurusConcept-442	dissemination of culture
ThesaurusConcept-443	limited circulation
ThesaurusConcept-444	selective dissemination of information
ThesaurusConcept-445	size of business
ThesaurusConcept-446	diploma
ThesaurusConcept-447	company management
ThesaurusConcept-448	directive
ThesaurusConcept-449	directive (EU)
ThesaurusConcept-450	voting discipline
ThesaurusConcept-451	record library
ThesaurusConcept-452	speech
ThesaurusConcept-453	access to information
ThesaurusConcept-454	sexual discrimination
ThesaurusConcept-455	economic discrimination
ThesaurusConcept-456	linguistic discrimination
ThesaurusConcept-457	political discrimination
ThesaurusConcept-458	racial discrimination
ThesaurusConcept-459	religious discrimination
ThesaurusConcept-460	price disparity
ThesaurusConcept-461	economic disparity
ThesaurusConcept-462	regional disparity
ThesaurusConcept-463	preservative
ThesaurusConcept-464	medical centre
ThesaurusConcept-465	food resources
ThesaurusConcept-466	available energy resources
ThesaurusConcept-467	driving mechanism
ThesaurusConcept-468	safety device
ThesaurusConcept-469	signalling device
ThesaurusConcept-470	dissidence
ThesaurusConcept-471	dissolution of parliament
ThesaurusConcept-472	deterrent
ThesaurusConcept-473	distillation
ThesaurusConcept-474	distributive trades
ThesaurusConcept-475	energy distribution
ThesaurusConcept-476	water supply
ThesaurusConcept-477	electricity supply
ThesaurusConcept-478	exclusive distribution agreement
ThesaurusConcept-479	product diversification
ThesaurusConcept-480	diversification of exports
ThesaurusConcept-481	supervisor
ThesaurusConcept-482	international division of labour
ThesaurusConcept-483	divorce
ThesaurusConcept-484	Djibouti
ThesaurusConcept-485	legal doctrine
ThesaurusConcept-486	document
ThesaurusConcept-487	audiovisual document
ThesaurusConcept-488	identity document
ThesaurusConcept-489	document for discussion at a sitting
ThesaurusConcept-490	built-up area
ThesaurusConcept-491	customs document
ThesaurusConcept-492	official document
ThesaurusConcept-493	parliamentary document
ThesaurusConcept-494	documentation
ThesaurusConcept-495	Dodecanese
ThesaurusConcept-496	Dominica
ThesaurusConcept-497	damage
ThesaurusConcept-498	war damage
ThesaurusConcept-499	damages
ThesaurusConcept-500	donation
ThesaurusConcept-501	gift
ThesaurusConcept-502	customs
ThesaurusConcept-503	Dubayy
ThesaurusConcept-504	double taxation
ThesaurusConcept-505	dual nationality
ThesaurusConcept-506	holding of two jobs
ThesaurusConcept-507	rural settlement
ThesaurusConcept-508	provisional twelfth
ThesaurusConcept-509	dredging
ThesaurusConcept-510	drainage
ThesaurusConcept-511	Drenthe
ThesaurusConcept-512	right to education
ThesaurusConcept-513	right to information
ThesaurusConcept-514	right to culture
ThesaurusConcept-515	urban centre
ThesaurusConcept-516	right to justice
ThesaurusConcept-517	administrative law
ThesaurusConcept-518	air law
ThesaurusConcept-519	anti-dumping duty
ThesaurusConcept-520	right to work
ThesaurusConcept-521	law of banking
ThesaurusConcept-522	law on negotiable instruments
ThesaurusConcept-523	civil law
ThesaurusConcept-524	commercial law
ThesaurusConcept-525	EU law
ThesaurusConcept-526	political unrest
ThesaurusConcept-527	constitutional law
ThesaurusConcept-528	customary law
ThesaurusConcept-529	copyright
ThesaurusConcept-530	registration tax
ThesaurusConcept-531	right to stopover
ThesaurusConcept-532	right of establishment
ThesaurusConcept-533	right to strike
ThesaurusConcept-534	energy law
ThesaurusConcept-535	environmental law
ThesaurusConcept-536	economic aggregate
ThesaurusConcept-537	law of outer space
ThesaurusConcept-538	rights of the individual
ThesaurusConcept-539	competition law
ThesaurusConcept-540	family law
ThesaurusConcept-541	law of war
ThesaurusConcept-542	law of the sea
ThesaurusConcept-543	right to demonstrate
ThesaurusConcept-544	fishing rights
ThesaurusConcept-545	access to a profession
ThesaurusConcept-546	right of pre-emption
ThesaurusConcept-547	right of repossession
ThesaurusConcept-548	right to vote
ThesaurusConcept-549	insurance law
ThesaurusConcept-550	patent law
ThesaurusConcept-551	law of states
ThesaurusConcept-552	rights of aliens
ThesaurusConcept-553	rights of minorities
ThesaurusConcept-554	company law
ThesaurusConcept-555	transport law
ThesaurusConcept-556	housing law
ThesaurusConcept-557	labour law
ThesaurusConcept-558	electoral law
ThesaurusConcept-559	part-time farming
ThesaurusConcept-560	financial legislation
ThesaurusConcept-561	tax law
ThesaurusConcept-562	international tax law
ThesaurusConcept-563	forestry legislation
ThesaurusConcept-564	international human rights law
ThesaurusConcept-565	international law
ThesaurusConcept-566	private international law
ThesaurusConcept-567	public international law
ThesaurusConcept-568	organic farming
ThesaurusConcept-569	maritime law
ThesaurusConcept-570	matrimonial law
ThesaurusConcept-571	national law
ThesaurusConcept-572	nuclear law
ThesaurusConcept-573	criminal law
ThesaurusConcept-574	economic offence
ThesaurusConcept-575	international criminal law
ThesaurusConcept-576	private law
ThesaurusConcept-577	commercial farming
ThesaurusConcept-578	public law
ThesaurusConcept-579	agrarian law
ThesaurusConcept-580	social legislation
ThesaurusConcept-581	territorial law
ThesaurusConcept-582	political right
ThesaurusConcept-583	civil rights
ThesaurusConcept-584	human rights
ThesaurusConcept-585	women's rights
ThesaurusConcept-586	contract farming
ThesaurusConcept-587	special drawing rights
ThesaurusConcept-588	dumping
ThesaurusConcept-589	life expectancy
ThesaurusConcept-590	length of studies
ThesaurusConcept-591	length of lease
ThesaurusConcept-592	working time
ThesaurusConcept-593	legal working time
ThesaurusConcept-594	AAMS countries
ThesaurusConcept-595	group farming
ThesaurusConcept-596	East of England
ThesaurusConcept-597	water
ThesaurusConcept-598	EU waters
ThesaurusConcept-599	percolation water
ThesaurusConcept-600	bathing water
ThesaurusConcept-601	spirits
ThesaurusConcept-602	freshwater
ThesaurusConcept-603	inland waters
ThesaurusConcept-604	hill farming
ThesaurusConcept-605	international waters
ThesaurusConcept-606	mineral water
ThesaurusConcept-607	drinking water
ThesaurusConcept-608	saltwater
ThesaurusConcept-609	groundwater
ThesaurusConcept-610	surface water
ThesaurusConcept-611	territorial waters
ThesaurusConcept-612	wastewater
ThesaurusConcept-613	agricultural trade
ThesaurusConcept-614	trading operation
ThesaurusConcept-615	subsistence farming
ThesaurusConcept-616	information transfer
ThesaurusConcept-617	exchange of publications
ThesaurusConcept-618	extra-EU trade
ThesaurusConcept-619	intra-EU trade
ThesaurusConcept-620	trade by group of countries
ThesaurusConcept-621	trade by country
ThesaurusConcept-622	trade by product
ThesaurusConcept-623	sampling
ThesaurusConcept-624	extensive farming
ThesaurusConcept-625	pay scale
ThesaurusConcept-626	lighting
ThesaurusConcept-627	school abroad
ThesaurusConcept-628	European school
ThesaurusConcept-629	international school
ThesaurusConcept-630	nursery school
ThesaurusConcept-631	national school
ThesaurusConcept-632	ecology
ThesaurusConcept-633	ecologism
ThesaurusConcept-634	econometrics
ThesaurusConcept-635	market access
